#,sireName,arch,foals,runs,wins,wps,win%,wps%, fees , winnings , profit , roi ,graded_wins
1291,Primo Vittoria,RDF,5,10,2,4,20.0%,40.0%," 10,885 "," 8,868 ","-2,017 ",-0.19 ,0
1292,Dead On Arrival,RTF,29,112,14,42,12.5%,37.5%," 176,010 "," 143,394 ","-32,616 ",-0.19 ,0
1293,Chiquito Bananzai,RDF,5,32,4,9,12.5%,28.1%," 47,131 "," 38,393 ","-8,738 ",-0.19 ,0
1294,Majestic Oh,RTS,6,56,7,23,12.5%,41.1%," 96,240 "," 78,397 ","-17,843 ",-0.19 ,0
1295,Terror,LTS,66,431,45,172,10.4%,39.9%," 447,340 "," 364,125 ","-83,215 ",-0.19 ,0
1296,Dingle Bells On Fire,RDF,14,589,67,194,11.4%,32.9%," 1,034,206 "," 841,282 ","-192,924 ",-0.19 ,0
1297,Warm Reception,RDF,41,261,26,71,10.0%,27.2%," 386,875 "," 314,672 ","-72,203 ",-0.19 ,4
1298,Creepin on ah ComeUp,RTF,6,184,20,68,10.9%,37.0%," 229,105 "," 186,270 ","-42,835 ",-0.19 ,0
1299,Cosmic Turf,RTF,8,30,3,10,10.0%,33.3%," 7,520 "," 6,113 ","-1,407 ",-0.19 ,0
1300,Kenya,RDF,9,51,7,20,13.7%,39.2%," 26,500 "," 21,539 ","-4,961 ",-0.19 ,0
1301,Stylish Stud #6519,#N/A,9,137,17,56,12.4%,40.9%," 259,677 "," 211,012 ","-48,665 ",-0.19 ,0
1302,Cambodia,LDS,21,844,132,361,15.6%,42.8%," 1,007,651 "," 818,796 ","-188,855 ",-0.19 ,0
1303,Flip N' Juice,LDS,5,43,4,18,9.3%,41.9%," 58,605 "," 47,603 ","-11,002 ",-0.19 ,0
1304,Kashgar,RDS,27,690,90,284,13.0%,41.2%," 1,158,740 "," 941,196 ","-217,544 ",-0.19 ,0
1305,Bentley,RDF,24,334,37,117,11.1%,35.0%," 394,304 "," 320,248 ","-74,056 ",-0.19 ,0
1306,The European,RDF,43,412,56,169,13.6%,41.0%," 610,594 "," 495,866 ","-114,728 ",-0.19 ,1
1307,Venom,RTS,37,352,32,109,9.1%,31.0%," 603,840 "," 490,105 ","-113,735 ",-0.19 ,3
1308,Papageorgio,RTF,7,48,7,19,14.6%,39.6%," 42,805 "," 34,708 ","-8,097 ",-0.19 ,0
1309,Firewalker,RTF,5,79,6,35,7.6%,44.3%," 56,985 "," 46,198 ","-10,787 ",-0.19 ,0
1310,Remington,RDF,48,1051,129,382,12.3%,36.3%," 2,722,120 "," 2,206,521 ","-515,599 ",-0.19 ,6
1311,Stylish Stud #5135,#N/A,6,422,66,198,15.6%,46.9%," 1,018,923 "," 825,781 ","-193,142 ",-0.19 ,2
1312,Zelus,RTF,22,287,41,119,14.3%,41.5%," 396,210 "," 321,052 ","-75,158 ",-0.19 ,1
1313,Miss You Nights,LTS,5,57,7,20,12.3%,35.1%," 50,650 "," 41,030 ","-9,620 ",-0.19 ,0
1314,Triton,LDF,5,60,9,19,15.0%,31.7%," 89,495 "," 72,496 ","-16,999 ",-0.19 ,0
1315,Trueno,RDS,5,52,11,25,21.2%,48.1%," 17,160 "," 13,899 ","-3,261 ",-0.19 ,0
1316,Mr. Tambourine Man,LDS,7,80,11,23,13.8%,28.8%," 109,760 "," 88,866 ","-20,894 ",-0.19 ,0
1317,Stylish Stud #8346,#N/A,5,305,46,143,15.1%,46.9%," 461,862 "," 373,906 ","-87,956 ",-0.19 ,0
1318,Tim Whatley,RTS,50,1591,198,565,12.4%,35.5%," 2,962,933 "," 2,398,675 ","-564,258 ",-0.19 ,0
1319,Texas Margerita,RTS,10,91,8,29,8.8%,31.9%," 137,788 "," 111,542 ","-26,246 ",-0.19 ,0
1320,Aussie Bear,LDF,18,114,15,54,13.2%,47.4%," 109,630 "," 88,741 ","-20,889 ",-0.19 ,0
1321,Lunar Harmony,LDS,26,457,50,165,10.9%,36.1%," 697,928 "," 564,940 ","-132,988 ",-0.19 ,0
1322,Van Boy,LTS,42,928,141,392,15.2%,42.2%," 1,738,820 "," 1,407,294 ","-331,526 ",-0.19 ,2
1323,Midnight Train,RTF,51,662,62,240,9.4%,36.3%," 977,560 "," 791,115 ","-186,445 ",-0.19 ,3
1324,Danger Close,LDF,59,709,87,245,12.3%,34.6%," 1,084,540 "," 877,675 ","-206,865 ",-0.19 ,7
1325,Kincaid,RDF,164,1951,200,607,10.3%,31.1%," 3,332,393 "," 2,695,688 ","-636,705 ",-0.19 ,15
1326,Double Shot,LTF,18,342,35,119,10.2%,34.8%," 642,574 "," 519,495 ","-123,079 ",-0.19 ,1
1327,Cillary Hlinton,LDS,7,59,8,24,13.6%,40.7%," 68,665 "," 55,468 ","-13,197 ",-0.19 ,0
1328,Cheap Buy,#N/A,59,226,37,113,16.4%,50.0%," 146,260 "," 118,119 ","-28,141 ",-0.19 ,0
1329,Swift Blaze,LTS,40,576,85,276,14.8%,47.9%," 473,880 "," 382,280 ","-91,600 ",-0.19 ,0
1330,Gawx,LDF,5,45,6,18,13.3%,40.0%," 60,610 "," 48,870 ","-11,740 ",-0.19 ,0
1331,Noah,RDF,17,175,27,75,15.4%,42.9%," 151,700 "," 122,312 ","-29,388 ",-0.19 ,0
1332,Rivia Eternal,RDS,16,346,43,142,12.4%,41.0%," 322,175 "," 259,724 ","-62,451 ",-0.19 ,0
1333,Beast,RTS,19,257,37,102,14.4%,39.7%," 323,030 "," 260,364 ","-62,666 ",-0.19 ,3
1334,El Dorado,LDF,32,347,48,130,13.8%,37.5%," 472,550 "," 380,644 ","-91,906 ",-0.19 ,1
1335,Louis XIV,RDF,15,340,38,120,11.2%,35.3%," 358,350 "," 288,567 ","-69,783 ",-0.19 ,0
1336,Supercell,LTS,9,87,13,38,14.9%,43.7%," 191,926 "," 154,514 ","-37,412 ",-0.19 ,0
1337,King Real,RDF,5,51,6,26,11.8%,51.0%," 39,180 "," 31,538 ","-7,642 ",-0.20 ,0
1338,Saint Eustace,RTS,5,67,10,37,14.9%,55.2%," 93,187 "," 74,985 ","-18,202 ",-0.20 ,0
1339,Zorro Tornado,RTS,7,55,6,15,10.9%,27.3%," 35,623 "," 28,638 ","-6,985 ",-0.20 ,0
1340,Black Grass Balls,LTF,17,96,17,36,17.7%,37.5%," 186,830 "," 150,196 ","-36,634 ",-0.20 ,1
1341,Combat Ready,LDF,257,4329,473,1481,10.9%,34.2%," 9,030,653 "," 7,259,893 ","-1,770,760 ",-0.20 ,30
1342,Jimmy Squarefoot,LDF,123,2919,368,1066,12.6%,36.5%," 7,210,214 "," 5,796,314 ","-1,413,900 ",-0.20 ,21
1343,Say When,LDS,26,352,46,162,13.1%,46.0%," 405,521 "," 325,943 ","-79,578 ",-0.20 ,0
1344,Survival Instincts,LTS,17,67,5,27,7.5%,40.3%," 85,170 "," 68,389 ","-16,781 ",-0.20 ,0
1345,Ted,LDF,78,445,58,165,13.0%,37.1%," 1,050,710 "," 843,545 ","-207,165 ",-0.20 ,1
1346,Franklin Saint,RTF,244,3481,383,1175,11.0%,33.8%," 7,069,640 "," 5,671,122 ","-1,398,518 ",-0.20 ,45
1347,Kopion,RTS,26,447,69,195,15.4%,43.6%," 442,866 "," 355,167 ","-87,699 ",-0.20 ,0
1348,Joanna Burgunday,RDF,25,316,44,115,13.9%,36.4%," 430,030 "," 344,641 ","-85,389 ",-0.20 ,0
1349,Galloping Major,RTS,8,102,13,42,12.7%,41.2%," 56,435 "," 45,226 ","-11,209 ",-0.20 ,0
1350,Lemon Vuitton,RTF,21,289,41,115,14.2%,39.8%," 343,088 "," 274,702 ","-68,386 ",-0.20 ,0
1351,Capone,RTS,19,155,20,67,12.9%,43.2%," 57,585 "," 46,101 ","-11,484 ",-0.20 ,0
1352,Eraser,RTF,46,470,52,177,11.1%,37.7%," 839,060 "," 671,616 ","-167,444 ",-0.20 ,4
1353,Pineapple Express,RTF,75,1447,168,516,11.6%,35.7%," 2,719,399 "," 2,176,656 ","-542,743 ",-0.20 ,1
1354,Stylish Stud #1489,#N/A,15,825,123,373,14.9%,45.2%," 1,339,249 "," 1,071,592 ","-267,657 ",-0.20 ,2
1355,Hurricane,RTF,13,276,21,95,7.6%,34.4%," 350,715 "," 280,524 ","-70,191 ",-0.20 ,0
1356,Gimli,LDF,7,35,5,15,14.3%,42.9%," 27,795 "," 22,229 ","-5,566 ",-0.20 ,0
1357,Opportunist Mr.,RTS,51,195,34,106,17.4%,54.4%," 118,200 "," 94,474 ","-23,726 ",-0.20 ,0
1358,Where's My Two-Beat,RDF,31,516,64,205,12.4%,39.7%," 728,755 "," 582,455 ","-146,300 ",-0.20 ,0
1359,Snow Shepherd,LDF,126,860,90,301,10.5%,35.0%," 1,422,624 "," 1,136,946 ","-285,678 ",-0.20 ,6
1360,Librarian's Prize,RDF,59,695,85,252,12.2%,36.3%," 1,010,454 "," 807,494 ","-202,960 ",-0.20 ,3
1361,Zidane,LTS,6,66,9,33,13.6%,50.0%," 63,890 "," 51,057 ","-12,833 ",-0.20 ,0
1362,Zacatecas,RTF,135,1410,166,491,11.8%,34.8%," 4,031,522 "," 3,219,067 ","-812,455 ",-0.20 ,20
1363,Wild Spirit,LTF,179,1534,209,658,13.6%,42.9%," 2,569,159 "," 2,051,002 ","-518,157 ",-0.20 ,23
1364,Sir French Toast,RDF,16,110,11,33,10.0%,30.0%," 148,085 "," 118,135 ","-29,950 ",-0.20 ,0
1365,BestBetter than Most,RTF,17,212,39,86,18.4%,40.6%," 234,040 "," 186,665 ","-47,375 ",-0.20 ,0
1366,Rousbay Naffleck,RTS,12,281,47,151,16.7%,53.7%," 180,290 "," 143,788 ","-36,502 ",-0.20 ,0
1367,Wistful Thinking,LDF,16,146,16,60,11.0%,41.1%," 364,260 "," 290,399 ","-73,861 ",-0.20 ,0
1368,Black Pencil,RDF,161,3365,389,1249,11.6%,37.1%," 7,591,360 "," 6,050,617 ","-1,540,743 ",-0.20 ,21
1369,Let's Go,RDF,89,1224,160,443,13.1%,36.2%," 1,868,835 "," 1,489,345 ","-379,490 ",-0.20 ,1
1370,Lucky Dog,LDS,28,197,27,84,13.7%,42.6%," 483,235 "," 385,107 ","-98,128 ",-0.20 ,6
1371,Excelsior,RTF,104,1701,236,670,13.9%,39.4%," 3,215,250 "," 2,561,396 ","-653,854 ",-0.20 ,12
1372,Butch,RTS,5,88,13,36,14.8%,40.9%," 58,170 "," 46,328 ","-11,842 ",-0.20 ,0
1373,Cepheus,LDS,6,154,16,52,10.4%,33.8%," 190,100 "," 151,358 ","-38,742 ",-0.20 ,0
1374,Iorek Byrnison,RDF,83,792,84,265,10.6%,33.5%," 1,212,210 "," 965,148 ","-247,062 ",-0.20 ,5
1375,WaterWorks,RTF,46,848,94,285,11.1%,33.6%," 1,821,962 "," 1,450,506 ","-371,456 ",-0.20 ,2
1376,Zafonic,LDF,54,2012,232,677,11.5%,33.6%," 3,898,223 "," 3,101,969 ","-796,254 ",-0.20 ,3
1377,Attila,LDS,14,63,8,27,12.7%,42.9%," 66,355 "," 52,787 ","-13,568 ",-0.20 ,0
1378,Subway Surfer,LDS,19,218,24,87,11.0%,39.9%," 368,410 "," 292,947 ","-75,463 ",-0.20 ,0
1379,Argos Neptunia,RTS,5,42,8,23,19.0%,54.8%," 42,355 "," 33,675 ","-8,680 ",-0.20 ,0
1380,Johnny Ringo,RDF,8,69,6,25,8.7%,36.2%," 55,615 "," 44,200 ","-11,415 ",-0.21 ,0
1381,Built Different,RDF,10,106,15,39,14.2%,36.8%," 202,490 "," 160,926 ","-41,564 ",-0.21 ,0
1382,Hamilton,RTS,5,80,11,27,13.8%,33.8%," 130,054 "," 103,331 ","-26,723 ",-0.21 ,0
1383,Lower Expectations,LDS,67,988,109,350,11.0%,35.4%," 3,017,015 "," 2,396,443 ","-620,572 ",-0.21 ,24
1384,Forest Owlet,RTF,64,1287,173,535,13.4%,41.6%," 3,496,080 "," 2,776,089 ","-719,991 ",-0.21 ,36
1385,Fire Potion Blue,RDS,11,115,12,54,10.4%,47.0%," 92,345 "," 73,323 ","-19,022 ",-0.21 ,0
1386,Nidoking,RTS,15,283,33,107,11.7%,37.8%," 856,120 "," 679,032 ","-177,088 ",-0.21 ,1
1387,Aristotle,RDF,152,2986,352,1037,11.8%,34.7%," 6,000,361 "," 4,759,154 ","-1,241,207 ",-0.21 ,1
1388,De Star,RDF,211,4154,467,1374,11.2%,33.1%," 7,940,283 "," 6,297,147 ","-1,643,136 ",-0.21 ,7
